id,x_px,y_px,radius_px,score
1,271.70,352.05,24.08,1.8740
2,1174.14,35.63,21.31,1.8630
3,692.50,493.50,23.16,1.8476
4,780.54,574.27,23.93,1.8444
5,1065.50,477.50,20.55,1.8444
6,324.28,400.81,21.52,1.8349
7,228.50,514.00,28.94,1.8231
8,244.25,253.79,20.32,1.8223
9,59.50,594.50,29.23,1.8172
10,636.00,455.00,23.09,1.8164
11,1122.50,578.00,24.62,1.8126
12,1196.07,331.16,26.23,1.8099
13,549.13,519.04,27.06,1.7971
14,421.00,617.50,22.14,1.7918
15,1037.50,719.50,22.77,1.7860
16,161.50,551.00,26.73,1.7805
17,258.06,446.42,21.62,1.7791
18,1106.00,645.00,37.12,1.7738
19,858.07,186.66,49.47,1.7667
20,812.00,615.00,20.25,1.7647
21,278.32,716.14,27.55,1.7592
22,350.27,123.65,21.78,1.7552
23,373.00,315.00,22.80,1.7424
24,1186.50,188.00,23.96,1.7378
25,1015.50,775.50,31.98,1.7353
26,1054.11,27.86,20.42,1.7213
27,536.90,315.83,20.21,1.7188
28,668.50,279.00,34.00,1.7173
29,619.00,705.50,31.67,1.7105
30,376.00,774.50,25.24,1.7000
31,1008.50,646.00,23.88,1.6980
32,950.50,836.00,38.71,1.6971
33,913.50,576.00,25.40,1.6965
34,944.50,181.00,24.86,1.6918
35,1113.50,823.50,25.54,1.6881
36,191.50,185.50,31.60,1.6780
37,1153.50,874.50,57.61,1.6752
38,168.50,822.50,30.60,1.6721
39,524.50,666.00,37.59,1.6695
40,202.50,274.00,26.39,1.6576
41,1075.50,203.00,25.93,1.6426
42,1208.50,120.50,22.64,1.6332
43,1011.00,897.50,34.03,1.6161
44,841.00,706.50,34.62,1.6149
45,1065.00,818.50,24.05,1.6049
46,1232.50,811.00,35.63,1.5973
47,228.50,857.00,26.20,1.5802
48,180.50,895.00,38.62,1.5540
