part,local_id,local_x_px,local_y_px,global_x_px,global_y_px,radius_px,score
3,10,756.33,686.01,3486.33,686.01,23.41,1.8295
3,11,324.47,577.40,3054.47,577.40,22.96,1.8259
3,12,653.00,329.00,3383.00,329.00,23.19,1.8160
3,13,655.00,857.00,3385.00,857.00,20.62,1.8150
3,14,980.50,982.00,3710.50,982.00,20.81,1.8145
3,15,213.34,559.19,2943.34,559.19,21.46,1.8141
3,16,571.50,535.50,3301.50,535.50,29.47,1.8127
3,17,83.00,296.50,2813.00,296.50,37.17,1.8123
3,18,1171.00,847.50,3901.00,847.50,22.41,1.8103
3,19,604.77,652.50,3334.77,652.50,24.64,1.7993
3,20,308.50,523.00,3038.50,523.00,21.10,1.7975
3,21,338.33,444.90,3068.33,444.90,36.69,1.7956
3,22,477.00,333.00,3207.00,333.00,40.45,1.7913
3,23,686.74,717.58,3416.74,717.58,20.62,1.7891
3,24,894.00,543.50,3624.00,543.50,24.25,1.7853
3,25,737.74,581.26,3467.74,581.26,32.93,1.7754
3,26,578.50,436.00,3308.50,436.00,25.16,1.7740
3,27,52.00,252.00,2782.00,252.00,30.41,1.7738
3,28,830.89,350.29,3560.89,350.29,22.15,1.7707
3,29,227.50,269.00,2957.50,269.00,24.03,1.7571
3,30,253.03,403.00,2983.03,403.00,29.04,1.7571
3,31,126.00,268.00,2856.00,268.00,20.88,1.7554
3,32,909.00,396.00,3639.00,396.00,30.81,1.7526
3,33,190.54,289.50,2920.54,289.50,26.58,1.7452
3,34,779.50,358.50,3509.50,358.50,21.27,1.7424
3,35,786.00,238.00,3516.00,238.00,30.15,1.7409
3,36,83.50,558.50,2813.50,558.50,21.83,1.7385
3,37,866.00,889.50,3596.00,889.50,25.81,1.7369
3,38,647.00,169.50,3377.00,169.50,31.10,1.7192
3,39,403.50,760.00,3133.50,760.00,22.68,1.7137
3,40,147.59,895.98,2877.59,895.98,24.91,1.7125
3,41,80.50,793.00,2810.50,793.00,20.30,1.7107
3,42,391.50,389.00,3121.50,389.00,20.40,1.7105
3,43,188.00,256.50,2918.00,256.50,21.71,1.7009
3,44,55.09,538.00,2785.09,538.00,20.31,1.6999
3,45,79.00,191.00,2809.00,191.00,22.36,1.6951
3,46,724.08,889.32,3454.08,889.32,24.10,1.6945
3,47,1117.00,909.50,3847.00,909.50,25.50,1.6849
3,48,888.18,732.20,3618.18,732.20,21.89,1.6834
3,49,1228.81,511.71,3958.81,511.71,27.32,1.6816
3,50,795.05,300.55,3525.05,300.55,22.34,1.6776
3,51,1275.00,411.00,4005.00,411.00,33.02,1.6721
3,52,601.00,928.00,3331.00,928.00,20.40,1.6717
3,53,710.50,293.00,3440.50,293.00,21.80,1.6694
3,54,559.50,381.50,3289.50,381.50,25.35,1.6630
3,55,847.00,452.00,3577.00,452.00,25.50,1.6547
3,56,197.00,814.00,2927.00,814.00,22.80,1.6514
3,57,149.93,342.50,2879.93,342.50,22.21,1.6474
3,58,917.50,319.00,3647.50,319.00,26.10,1.6453
3,59,210.50,100.00,2940.50,100.00,40.55,1.6277
3,60,107.50,164.50,2837.50,164.50,32.81,1.6140
3,61,813.52,561.43,3543.52,561.43,21.23,1.6138
3,62,35.50,207.00,2765.50,207.00,29.65,1.5998
3,63,376.00,623.50,3106.00,623.50,24.44,1.5968
3,64,441.00,300.00,3171.00,300.00,24.08,1.5902
3,65,551.00,329.00,3281.00,329.00,26.08,1.5758
3,66,1019.00,381.00,3749.00,381.00,31.14,1.5164
4,1,514.87,196.51,514.87,1220.51,21.60,1.8645
4,2,1205.50,496.50,1205.50,1520.50,25.62,1.8608
4,3,1175.01,115.07,1175.01,1139.07,24.12,1.8538
4,4,222.00,98.50,222.00,1122.50,29.40,1.8496
4,5,40.22,637.26,40.22,1661.26,22.95,1.8423
4,6,1235.00,445.00,1235.00,1469.00,23.19,1.8353
4,7,140.50,386.00,140.50,1410.00,22.07,1.8198
4,8,144.21,645.99,144.21,1669.99,35.14,1.8100
4,9,289.50,229.00,289.50,1253.00,94.54,1.8096
4,10,687.73,250.07,687.73,1274.07,20.34,1.8086
4,11,1137.17,426.93,1137.17,1450.93,24.03,1.8084
4,12,688.00,721.50,688.00,1745.50,25.40,1.8066
4,13,819.00,736.00,819.00,1760.00,20.22,1.8040
4,14,751.50,694.50,751.50,1718.50,20.80,1.7998
4,15,641.50,593.50,641.50,1617.50,35.78,1.7988
4,16,1307.50,113.00,1307.50,1137.00,43.49,1.7983
4,17,729.00,630.50,729.00,1654.50,23.26,1.7943
4,18,651.00,511.00,651.00,1535.00,21.21,1.7840
4,19,95.00,735.00,95.00,1759.00,22.20,1.7811
4,20,151.50,805.50,151.50,1829.50,42.57,1.7771
4,21,395.35,254.54,395.35,1278.54,48.29,1.7719
4,22,1087.50,709.50,1087.50,1733.50,21.64,1.7652
4,23,880.50,762.00,880.50,1786.00,49.66,1.7604
4,24,1260.45,128.00,1260.45,1152.00,26.81,1.7534
4,25,1001.70,396.58,1001.70,1420.58,96.58,1.7523
4,26,236.00,762.50,236.00,1786.50,26.23,1.7523
4,27,985.50,744.50,985.50,1768.50,22.77,1.7506
4,28,1210.88,407.55,1210.88,1431.55,26.70,1.7442
4,29,1065.03,243.77,1065.03,1267.77,22.14,1.7410
4,30,933.50,126.50,933.50,1150.50,20.55,1.7367
4,31,201.00,747.50,201.00,1771.50,25.40,1.7333
4,32,777.00,814.00,777.00,1838.00,31.40,1.7231
4,33,556.50,801.00,556.50,1825.00,44.60,1.7205
4,34,442.95,88.49,442.95,1112.49,49.01,1.7194
4,35,961.65,54.82,961.65,1078.82,20.36,1.7175
4,36,894.04,849.50,894.04,1873.50,23.09,1.7148
4,37,906.17,227.13,906.17,1251.13,26.62,1.7131
4,38,664.50,815.50,664.50,1839.50,24.75,1.7104
4,39,1118.50,502.00,1118.50,1526.00,20.81,1.7079
4,40,944.00,584.00,944.00,1608.00,22.80,1.6943
4,41,1251.00,668.00,1251.00,1692.00,42.58,1.6870
4,42,743.00,743.50,743.00,1767.50,30.04,1.6805
4,43,1133.98,108.92,1133.98,1132.92,38.56,1.6794
4,44,955.79,277.57,955.79,1301.57,22.22,1.6783
4,45,787.00,715.00,787.00,1739.00,30.08,1.6779
4,46,425.50,376.50,425.50,1400.50,39.04,1.6764
4,47,647.50,741.50,647.50,1765.50,28.71,1.6743
4,48,1163.41,777.87,1163.41,1801.87,37.10,1.6637
4,49,289.00,448.50,289.00,1472.50,22.46,1.6518
4,50,1001.50,292.50,1001.50,1316.50,48.25,1.6477
4,51,239.00,704.00,239.00,1728.00,30.08,1.6373
4,52,307.50,854.50,307.50,1878.50,44.64,1.6311
4,53,613.13,178.09,613.13,1202.09,37.79,1.6087
4,54,1019.36,513.71,1019.36,1537.71,22.38,1.6026
4,55,349.00,904.50,349.00,1928.50,35.03,1.5767
4,56,429.50,858.00,429.50,1882.00,34.63,1.5735
4,57,103.50,920.50,103.50,1944.50,36.67,1.5681
4,58,1274.00,192.00,1274.00,1216.00,34.53,1.5655
4,59,272.50,353.50,272.50,1377.50,71.43,1.5270
4,60,950.84,175.50,950.84,1199.50,22.30,1.5172
4,61,1303.50,927.50,1303.50,1951.50,33.68,1.5144
5,1,271.70,352.05,1636.70,1376.05,24.08,1.8740
5,2,1174.14,35.63,2539.14,1059.63,21.31,1.8630
5,3,692.50,493.50,2057.50,1517.50,23.16,1.8476
5,4,780.54,574.27,2145.54,1598.27,23.93,1.8444
5,5,1065.50,477.50,2430.50,1501.50,20.55,1.8444
5,6,324.28,400.81,1689.28,1424.81,21.52,1.8349
5,7,228.50,514.00,1593.50,1538.00,28.94,1.8231
5,8,244.25,253.79,1609.25,1277.79,20.32,1.8223
5,9,59.50,594.50,1424.50,1618.50,29.23,1.8172
5,10,636.00,455.00,2001.00,1479.00,23.09,1.8164
5,11,1122.50,578.00,2487.50,1602.00,24.62,1.8126
5,12,1196.07,331.16,2561.07,1355.16,26.23,1.8099
5,13,549.13,519.04,1914.13,1543.04,27.06,1.7971
5,14,421.00,617.50,1786.00,1641.50,22.14,1.7918
5,15,1037.50,719.50,2402.50,1743.50,22.77,1.7860
5,16,161.50,551.00,1526.50,1575.00,26.73,1.7805
5,17,258.06,446.42,1623.06,1470.42,21.62,1.7791
5,18,1106.00,645.00,2471.00,1669.00,37.12,1.7738
5,19,858.07,186.66,2223.07,1210.66,49.47,1.7667
5,20,812.00,615.00,2177.00,1639.00,20.25,1.7647
5,21,278.32,716.14,1643.32,1740.14,27.55,1.7592
5,22,350.27,123.65,1715.27,1147.65,21.78,1.7552
5,23,373.00,315.00,1738.00,1339.00,22.80,1.7424
5,24,1186.50,188.00,2551.50,1212.00,23.96,1.7378
5,25,1015.50,775.50,2380.50,1799.50,31.98,1.7353
5,26,1054.11,27.86,2419.11,1051.86,20.42,1.7213
