id,x_px,y_px,radius_px,score
1,2224.07,191.02,55.52,1.8722
2,2540.77,37.38,20.17,1.8720
3,3476.50,493.00,32.50,1.8559
4,519.00,197.00,20.62,1.8207
5,3027.38,533.04,28.81,1.8174
6,293.50,232.00,84.04,1.8160
7,1494.59,462.98,29.18,1.8076
8,220.50,98.50,31.76,1.8021
9,3057.68,415.94,27.23,1.7965
10,2821.27,369.36,25.16,1.7933
11,1419.50,600.50,33.80,1.7925
12,998.00,385.00,88.89,1.7702
13,3884.00,559.50,26.20,1.7637
14,1206.50,495.50,28.26,1.7565
15,1351.00,106.00,80.62,1.7380
16,776.66,203.11,24.43,1.7334
17,2915.50,724.50,33.59,1.7293
18,3728.00,656.00,39.05,1.6948
19,3954.50,744.00,26.67,1.6739
20,2894.50,161.00,80.69,1.6545
