id,x_px,y_px,radius_px,score
1,3543.00,849.00,21.10,1.8727
2,727.27,609.73,39.49,1.8484
3,1813.22,524.91,21.37,1.8477
4,874.69,931.89,23.58,1.8403
5,1299.15,899.75,23.02,1.8321
6,2488.50,473.25,21.92,1.8310
7,1353.89,716.24,25.66,1.8304
8,939.50,424.50,40.65,1.8235
9,190.00,366.50,31.89,1.8221
10,3635.37,939.00,21.02,1.8201
11,1011.35,907.12,26.16,1.8138
12,3301.00,538.00,30.46,1.8129
13,243.31,892.38,20.34,1.8081
14,658.29,717.95,51.08,1.8072
15,830.50,598.03,36.72,1.7995
16,3464.16,597.20,30.40,1.7971
17,3417.97,718.03,20.57,1.7944
18,1175.57,358.14,45.09,1.7694
19,2640.00,359.50,32.10,1.7611
20,1399.00,465.00,28.23,1.7597
21,2953.50,552.00,25.01,1.7542
22,746.30,474.07,23.50,1.7491
23,2122.00,471.00,25.08,1.7475
24,2160.45,291.50,38.71,1.7251
25,1263.50,443.50,35.78,1.7181
26,1922.00,286.50,58.77,1.7130
27,2516.47,202.50,32.57,1.7070
28,2585.29,625.44,79.48,1.6805
29,3376.98,169.00,31.04,1.6711
