id,x_px,y_px,radius_px,score
1,812.50,850.00,20.84,1.9103
2,465.00,432.50,26.39,1.8766
3,963.00,831.59,20.80,1.8750
4,945.91,504.50,29.12,1.8699
5,606.00,461.00,21.59,1.8520
6,600.00,319.00,23.19,1.8481
7,229.50,347.50,22.19,1.8479
8,1243.04,321.00,31.10,1.8307
9,1288.50,669.00,21.36,1.8300
10,756.33,686.01,23.41,1.8295
11,324.47,577.40,22.96,1.8259
12,653.00,329.00,23.19,1.8160
13,655.00,857.00,20.62,1.8150
14,980.50,982.00,20.81,1.8145
15,213.34,559.19,21.46,1.8141
16,571.50,535.50,29.47,1.8127
17,83.00,296.50,37.17,1.8123
18,1171.00,847.50,22.41,1.8103
19,604.77,652.50,24.64,1.7993
20,308.50,523.00,21.10,1.7975
21,338.33,444.90,36.69,1.7956
22,477.00,333.00,40.45,1.7913
23,686.74,717.58,20.62,1.7891
24,894.00,543.50,24.25,1.7853
25,737.74,581.26,32.93,1.7754
26,578.50,436.00,25.16,1.7740
27,52.00,252.00,30.41,1.7738
28,830.89,350.29,22.15,1.7707
29,227.50,269.00,24.03,1.7571
30,253.03,403.00,29.04,1.7571
31,126.00,268.00,20.88,1.7554
32,909.00,396.00,30.81,1.7526
33,190.54,289.50,26.58,1.7452
34,779.50,358.50,21.27,1.7424
35,786.00,238.00,30.15,1.7409
36,83.50,558.50,21.83,1.7385
37,866.00,889.50,25.81,1.7369
38,647.00,169.50,31.10,1.7192
39,403.50,760.00,22.68,1.7137
40,147.59,895.98,24.91,1.7125
41,80.50,793.00,20.30,1.7107
42,391.50,389.00,20.40,1.7105
43,188.00,256.50,21.71,1.7009
44,55.09,538.00,20.31,1.6999
45,79.00,191.00,22.36,1.6951
46,724.08,889.32,24.10,1.6945
47,1117.00,909.50,25.50,1.6849
48,888.18,732.20,21.89,1.6834
49,1228.81,511.71,27.32,1.6816
50,795.05,300.55,22.34,1.6776
51,1275.00,411.00,33.02,1.6721
52,601.00,928.00,20.40,1.6717
53,710.50,293.00,21.80,1.6694
54,559.50,381.50,25.35,1.6630
55,847.00,452.00,25.50,1.6547
56,197.00,814.00,22.80,1.6514
57,149.93,342.50,22.21,1.6474
58,917.50,319.00,26.10,1.6453
59,210.50,100.00,40.55,1.6277
60,107.50,164.50,32.81,1.6140
61,813.52,561.43,21.23,1.6138
62,35.50,207.00,29.65,1.5998
63,376.00,623.50,24.44,1.5968
64,441.00,300.00,24.08,1.5902
65,551.00,329.00,26.08,1.5758
66,1019.00,381.00,31.14,1.5164
