id,x_px,y_px,radius_px,score
1,1064.91,346.76,24.90,1.8909
2,958.72,273.15,21.36,1.8718
3,747.95,491.66,32.73,1.8604
4,775.00,671.00,25.18,1.8543
5,54.00,582.50,24.62,1.8540
6,754.50,95.50,20.55,1.8533
7,298.15,534.04,26.32,1.8522
8,662.92,536.50,26.31,1.8506
9,456.50,554.50,20.99,1.8473
10,1019.50,615.50,21.78,1.8471
11,895.60,579.43,23.05,1.8458
12,1157.00,556.50,27.55,1.8392
13,665.50,412.50,20.70,1.8340
14,662.50,688.50,31.82,1.8320
15,361.99,476.60,20.06,1.8197
16,935.50,540.50,20.55,1.8108
17,327.39,414.74,25.96,1.8089
18,182.50,720.50,30.70,1.8069
19,47.46,713.50,36.63,1.8033
20,224.50,600.00,29.12,1.8023
21,280.00,473.00,27.20,1.8021
22,994.50,544.50,20.99,1.8014
23,91.10,374.44,24.59,1.7855
24,384.00,555.00,21.38,1.7833
25,741.58,617.98,20.80,1.7816
26,602.40,488.20,21.51,1.7779
27,1030.50,195.00,22.61,1.7762
28,1254.50,691.00,21.71,1.7722
29,678.50,784.00,21.71,1.7717
30,796.94,787.00,21.15,1.7596
31,102.00,607.50,23.26,1.7581
32,1085.00,288.00,25.00,1.7520
33,849.50,741.00,23.84,1.7516
34,1120.89,209.56,78.18,1.7402
35,1231.65,114.94,22.66,1.7352
36,53.50,770.00,44.68,1.7294
37,619.00,834.50,25.12,1.7263
38,340.08,260.35,33.88,1.7245
39,1230.50,743.00,30.57,1.7230
40,354.50,734.50,43.64,1.7124
41,1196.82,474.36,25.10,1.7102
42,489.03,226.81,23.01,1.7099
43,569.50,541.00,33.05,1.7015
44,1130.50,713.50,26.62,1.6818
45,487.00,173.50,20.16,1.6800
46,658.50,627.50,21.97,1.6766
47,719.00,862.00,30.15,1.6636
48,487.00,681.00,46.69,1.6625
49,715.00,751.50,23.26,1.6612
50,1001.27,658.68,38.31,1.6560
51,1012.50,118.50,44.66,1.6358
52,866.00,298.50,20.72,1.6308
53,780.50,900.00,46.67,1.6170
54,216.50,802.00,111.80,1.6039
55,587.50,809.00,28.66,1.6023
56,173.00,878.50,34.18,1.5792
57,541.50,885.00,53.58,1.5344
