part,local_id,local_x_px,local_y_px,global_x_px,global_y_px,radius_px,score
1,1,3543.00,849.00,3543.00,849.00,21.10,1.8727
1,2,727.27,609.73,727.27,609.73,39.49,1.8484
1,3,1813.22,524.91,1813.22,524.91,21.37,1.8477
1,4,874.69,931.89,874.69,931.89,23.58,1.8403
1,5,1299.15,899.75,1299.15,899.75,23.02,1.8321
1,6,2488.50,473.25,2488.50,473.25,21.92,1.8310
1,7,1353.89,716.24,1353.89,716.24,25.66,1.8304
1,8,939.50,424.50,939.50,424.50,40.65,1.8235
1,9,190.00,366.50,190.00,366.50,31.89,1.8221
1,10,3635.37,939.00,3635.37,939.00,21.02,1.8201
1,11,1011.35,907.12,1011.35,907.12,26.16,1.8138
1,12,3301.00,538.00,3301.00,538.00,30.46,1.8129
1,13,243.31,892.38,243.31,892.38,20.34,1.8081
1,14,658.29,717.95,658.29,717.95,51.08,1.8072
1,15,830.50,598.03,830.50,598.03,36.72,1.7995
1,16,3464.16,597.20,3464.16,597.20,30.40,1.7971
1,17,3417.97,718.03,3417.97,718.03,20.57,1.7944
1,18,1175.57,358.14,1175.57,358.14,45.09,1.7694
1,19,2640.00,359.50,2640.00,359.50,32.10,1.7611
1,20,1399.00,465.00,1399.00,465.00,28.23,1.7597
1,21,2953.50,552.00,2953.50,552.00,25.01,1.7542
1,22,746.30,474.07,746.30,474.07,23.50,1.7491
1,23,2122.00,471.00,2122.00,471.00,25.08,1.7475
1,24,2160.45,291.50,2160.45,291.50,38.71,1.7251
1,25,1263.50,443.50,1263.50,443.50,35.78,1.7181
1,26,1922.00,286.50,1922.00,286.50,58.77,1.7130
1,27,2516.47,202.50,2516.47,202.50,32.57,1.7070
1,28,2585.29,625.44,2585.29,625.44,79.48,1.6805
1,29,3376.98,169.00,3376.98,169.00,31.04,1.6711
2,1,2224.07,191.02,2224.07,1215.02,55.52,1.8722
2,2,2540.77,37.38,2540.77,1061.38,20.17,1.8720
2,3,3476.50,493.00,3476.50,1517.00,32.50,1.8559
2,4,519.00,197.00,519.00,1221.00,20.62,1.8207
2,5,3027.38,533.04,3027.38,1557.04,28.81,1.8174
2,6,293.50,232.00,293.50,1256.00,84.04,1.8160
2,7,1494.59,462.98,1494.59,1486.98,29.18,1.8076
2,8,220.50,98.50,220.50,1122.50,31.76,1.8021
2,9,3057.68,415.94,3057.68,1439.94,27.23,1.7965
2,10,2821.27,369.36,2821.27,1393.36,25.16,1.7933
2,11,1419.50,600.50,1419.50,1624.50,33.80,1.7925
2,12,998.00,385.00,998.00,1409.00,88.89,1.7702
2,13,3884.00,559.50,3884.00,1583.50,26.20,1.7637
2,14,1206.50,495.50,1206.50,1519.50,28.26,1.7565
2,15,1351.00,106.00,1351.00,1130.00,80.62,1.7380
2,16,776.66,203.11,776.66,1227.11,24.43,1.7334
2,17,2915.50,724.50,2915.50,1748.50,33.59,1.7293
2,18,3728.00,656.00,3728.00,1680.00,39.05,1.6948
2,19,3954.50,744.00,3954.50,1768.00,26.67,1.6739
2,20,2894.50,161.00,2894.50,1185.00,80.69,1.6545
