id,x_px,y_px,radius_px,score
1,877.26,932.55,23.70,1.8927
2,1011.60,909.02,28.61,1.8859
3,1143.00,953.50,26.00,1.8834
4,838.00,374.00,21.10,1.8721
5,941.04,426.50,38.12,1.8714
6,832.15,600.00,36.20,1.8642
7,652.50,715.50,24.14,1.8634
8,1241.11,969.32,24.00,1.8570
9,541.71,762.93,21.67,1.8552
10,1149.50,779.00,21.91,1.8483
11,1223.02,863.97,22.82,1.8465
12,1301.91,899.87,24.62,1.8389
13,1117.90,349.00,21.12,1.8299
14,1253.69,443.10,29.30,1.8244
15,150.50,529.00,27.04,1.8213
16,729.55,613.30,38.82,1.8211
17,947.50,336.50,23.63,1.8150
18,1315.50,621.00,20.72,1.8102
19,1175.50,361.00,46.59,1.8089
20,887.50,875.50,21.51,1.8023
21,188.00,367.00,28.28,1.8004
22,1226.50,391.50,27.06,1.7671
23,72.00,735.00,22.56,1.7570
24,1337.82,450.00,21.20,1.7445
25,228.50,478.50,20.11,1.7392
26,773.50,198.00,37.62,1.7315
27,209.50,776.00,31.20,1.7253
28,1076.47,319.00,60.60,1.7132
29,246.20,890.36,21.22,1.7086
30,1298.58,411.09,23.78,1.7010
31,847.00,684.50,26.80,1.6978
32,697.50,163.00,25.58,1.6912
33,100.23,532.77,20.94,1.6888
34,748.00,473.50,23.59,1.6839
35,909.00,973.00,29.21,1.6752
36,1260.00,330.50,36.23,1.6485
37,792.50,148.00,40.81,1.6263
38,352.50,578.00,25.22,1.6245
39,96.50,397.00,28.15,1.6135
40,1062.50,945.50,23.16,1.6132
41,37.50,383.00,27.95,1.6086
42,1112.00,635.00,59.67,1.6078
43,84.76,594.00,30.83,1.5875
44,894.50,45.50,27.54,1.5344
