id,x_px,y_px,radius_px,score
1,33.00,471.00,25.96,1.8772
2,1176.57,414.00,41.62,1.8716
3,881.00,735.00,23.02,1.8474
4,1271.68,360.50,32.78,1.8347
5,851.34,656.87,38.88,1.8142
6,1304.04,329.15,21.84,1.8141
7,934.52,466.12,28.86,1.8099
8,763.00,891.50,22.39,1.8091
9,396.93,260.50,27.30,1.8038
10,1163.00,706.50,25.66,1.8012
11,1002.50,681.00,21.71,1.8011
12,1127.00,477.00,24.19,1.7944
13,797.50,292.00,40.70,1.7940
14,710.00,359.00,24.33,1.7914
15,932.00,744.50,22.68,1.7873
16,557.50,284.00,54.62,1.7732
17,1117.50,658.50,29.03,1.7702
18,1124.21,594.20,27.05,1.7700
19,298.50,782.50,24.75,1.7679
20,93.00,298.00,23.19,1.7600
21,1247.00,232.00,23.19,1.7589
22,831.00,220.50,30.04,1.7459
23,634.50,255.00,27.79,1.7401
24,1057.00,262.00,27.29,1.7387
25,1150.50,207.50,32.69,1.7254
26,858.00,158.00,26.17,1.7228
27,691.00,742.50,26.91,1.7202
28,1070.00,221.50,25.12,1.7142
29,563.50,126.00,24.03,1.7136
30,231.00,175.50,27.12,1.7113
31,703.50,205.00,32.64,1.7099
32,1231.50,196.00,26.97,1.7065
33,1034.40,983.46,21.76,1.7035
34,1203.50,471.00,30.81,1.6965
35,607.42,574.71,20.89,1.6885
36,50.00,543.00,20.62,1.6802
37,647.50,152.50,49.80,1.6699
38,279.19,339.00,43.38,1.6656
39,1284.00,496.00,35.85,1.6602
40,919.50,140.00,32.56,1.6333
41,1009.50,219.00,31.64,1.6158
42,237.00,215.50,29.04,1.6132
43,1070.00,85.00,45.10,1.6076
44,888.50,86.50,31.54,1.6006
45,602.50,431.00,57.32,1.5950
46,819.02,113.00,43.03,1.5924
47,308.00,585.57,41.86,1.5861
48,1183.00,93.50,30.34,1.5820
49,465.50,865.00,29.77,1.5573
50,1310.50,77.50,41.86,1.5443
51,1315.50,188.50,35.78,1.5159
52,235.50,505.00,44.74,1.5115
